Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,708.02,702.39,710.87,700.32,143.02K,0.80%
12/31/2024,702.39,705.36,714.75,698.62,244.32K,-0.42%
12/30/2024,705.36,694.71,712.17,687.96,312.01K,1.53%
12/29/2024,694.71,722.28,724.12,690.57,252.03K,-3.82%
12/28/2024,722.28,691.84,731.04,691.58,358.39K,4.41%
12/27/2024,691.79,689.55,710.85,685.88,360.78K,0.32%
12/26/2024,689.55,702.64,719.49,683.06,399.28K,-1.86%
12/25/2024,702.64,696.76,713.13,695.99,246.44K,0.84%
12/24/2024,696.76,694.04,698.9,682.89,404.02K,0.39%
12/23/2024,694.04,649.89,698.19,638.3,629.32K,6.79%
12/22/2024,649.89,663.12,669.59,639.79,346.83K,-1.99%
12/21/2024,663.12,678.67,692.94,652.54,549.77K,-2.29%
12/20/2024,678.67,665.42,679.9,619.23,1.06M,1.99%
12/19/2024,665.43,687.39,704.85,650.03,899.95K,-3.19%
12/18/2024,687.39,717.52,721.99,683.67,773.93K,-4.20%
12/17/2024,717.52,720.45,736.53,712.82,531.75K,-0.41%
12/16/2024,720.45,718.61,729.99,704.37,515.07K,0.26%
12/15/2024,718.61,715.89,723.94,702.95,297.32K,0.38%
12/14/2024,715.89,725.74,731.91,705.32,359.82K,-1.37%
12/13/2024,725.86,705.71,729.76,697.71,574.09K,2.85%
12/12/2024,705.71,711.41,725.56,699.38,609.49K,-0.80%
12/11/2024,711.41,676.92,712.46,658.72,556.73K,5.10%
12/10/2024,676.92,689.21,704.59,650.0,1.07M,-1.90%
12/09/2024,690.02,741.84,742.14,651.3,1.12M,-6.99%
12/08/2024,741.84,749.46,757.14,728.07,355.44K,-1.02%
12/07/2024,749.46,730.44,760.48,729.86,463.19K,2.60%
12/06/2024,730.44,717.32,745.52,705.63,781.27K,1.83%
12/05/2024,717.32,739.23,739.23,693.03,1.24M,-2.96%
12/04/2024,739.23,735.07,793.2,721.53,2.21M,0.57%
12/03/2024,735.07,647.77,746.05,624.66,1.63M,13.48%
12/02/2024,647.77,656.03,666.93,629.08,802.12K,-1.26%
12/01/2024,656.03,653.72,664.1,645.75,446.33K,0.35%
11/30/2024,653.72,654.69,676.8,648.44,565.60K,-0.15%
11/29/2024,654.69,654.01,663.61,648.73,442.57K,0.11%
11/28/2024,654.0,644.25,662.84,640.72,708.17K,1.49%
11/27/2024,644.43,613.7,646.41,608.36,650.79K,5.01%
11/26/2024,613.7,635.81,645.39,600.68,845.08K,-3.48%
11/25/2024,635.81,659.8,674.66,627.39,820.89K,-3.64%
11/24/2024,659.8,650.79,687.26,637.54,949.96K,1.38%
11/23/2024,650.79,633.0,678.88,631.32,1.12M,2.81%
11/22/2024,633.0,622.02,639.21,615.32,600.57K,1.76%
11/21/2024,622.02,605.39,629.31,593.4,666.06K,2.68%
11/20/2024,605.79,615.26,620.43,600.01,424.09K,-1.54%
11/19/2024,615.26,618.9,621.3,605.23,435.27K,-0.59%
11/18/2024,618.9,618.74,629.83,612.21,500.65K,0.03%
11/17/2024,618.74,622.46,646.91,605.56,615.18K,-0.60%
11/16/2024,622.46,619.11,633.53,617.57,462.16K,0.54%
11/15/2024,619.11,621.85,628.29,603.72,678.16K,-0.44%
11/14/2024,621.85,620.65,659.8,611.48,1.13M,0.19%
11/13/2024,620.65,625.31,638.04,599.44,1.08M,-0.71%
11/12/2024,625.08,660.15,666.66,612.86,1.26M,-5.31%
11/11/2024,660.15,627.46,664.6,613.04,1.06M,5.21%
11/10/2024,627.46,624.66,644.06,612.68,854.12K,0.48%
11/09/2024,624.48,597.81,637.97,597.51,794.09K,4.46%
11/08/2024,597.81,598.22,605.7,588.15,330.61K,-0.07%
11/07/2024,598.2,591.99,611.04,587.49,397.45K,1.05%
11/06/2024,591.99,563.23,594.76,563.19,568.65K,5.11%
