Date,Price,Open,High,Low,Vol.,Change %
2025-01-01,1.0005,0.9999,1.0025,0.9999,1620000,0
2024-12-31,0.9999,0.9999,1.0007,0.9999,939890,0
2024-12-30,0.9999,1.0007,1.0017,0.9999,1010000,0
2024-12-29,1.0007,1.0001,1.001,0.9999,558030,0
2024-12-28,1.0001,1.0003,1.001,0.9999,779860,0
2024-12-27,1.0003,0.9999,1.0008,0.9999,1110000,0
2024-12-26,0.9999,0.9999,1.0002,0.9998,1010000,0
2024-12-25,0.9999,0.9998,1.0001,0.9997,803820,0
2024-12-24,0.9999,0.9999,1.0006,0.9996,2430000,0
2024-12-23,0.9998,1.0,1.0005,0.9997,1690000,0
2024-12-22,1.0,1.0001,1.001,0.9998,1880000,0
2024-12-21,1.0001,1.0,1.0003,0.9998,1760000,0
2024-12-20,1.0,0.9999,1.0008,0.9996,2750000,0
2024-12-19,1.0,0.9999,1.0008,0.9991,3740000,0
2024-12-18,0.9999,1.0,1.0002,0.9998,2040000,0
2024-12-17,1.0,1.0,1.0005,0.9997,2770000,0
2024-12-16,1.0,1.0,1.0009,0.9998,1620000,0
2024-12-15,1.0,1.0,1.0006,0.9996,1120000,0
2024-12-14,1.0,1.0004,1.0005,0.9997,604030,0
2024-12-13,1.0004,0.9999,1.0009,0.9997,2130000,0
2024-12-12,0.9999,0.9996,1.0009,0.9996,2780000,0
2024-12-11,0.9996,0.9995,1.0001,0.998,4250000,0
2024-12-10,0.9995,0.9999,1.0001,0.9995,3810000,0
2024-12-09,1.0,1.0,1.0002,0.9998,4190000,0
2024-12-08,1.0,0.9998,1.0001,0.9998,1580000,0
2024-12-07,0.9998,0.9998,1.0,0.9996,2330000,0
2024-12-06,0.9998,0.9997,1.0,0.9997,3380000,0
2024-12-05,0.9997,0.9999,1.0001,0.9996,2870000,0
2024-12-04,0.9999,0.9999,1.0,0.9997,3240000,0
2024-12-03,0.9999,0.9999,1.0,0.9994,3670000,0
2024-12-02,0.9999,0.9999,1.0001,0.9996,1920000,0
2024-12-01,0.9999,0.9998,1.0001,0.9994,2190000,0
2024-11-30,0.9998,1.0,1.0,0.9997,1940000,0
2024-11-29,1.0,0.9998,1.0,0.9997,1600000,0
2024-11-28,0.9998,1.0001,1.0001,0.9998,3240000,0
2024-11-27,1.0001,1.0,1.0001,0.9998,3880000,0
2024-11-26,1.0,0.9997,1.0001,0.9996,5200000,0
2024-11-25,0.9997,0.9999,1.0,0.9995,4230000,0
2024-11-24,0.9998,1.0,1.0002,0.9997,2110000,0
2024-11-23,1.0,0.9999,1.0006,0.9998,5130000,0
2024-11-22,0.9999,0.9998,1.0032,0.9993,3670000,0
2024-11-21,0.9998,0.9998,1.0014,0.9941,3250000,0
2024-11-20,0.9998,0.9997,1.0004,0.9996,1830000,0
2024-11-19,0.9997,0.9995,1.0,0.9994,1700000,0
2024-11-18,0.9995,0.9998,1.0005,0.9995,1610000,0
2024-11-17,0.9998,0.9998,1.0008,0.9996,735470,0
2024-11-16,0.9998,0.9999,1.0008,0.9997,1070000,0
2024-11-15,0.9999,1.0,1.0004,0.9996,2300000,0
2024-11-14,1.0,1.0001,1.0004,0.9996,3310000,0
2024-11-13,1.0001,0.9998,1.0004,0.9996,1830000,0
2024-11-12,0.9998,0.9997,1.0007,0.9996,1770000,0
2024-11-11,0.9998,0.9999,1.0004,0.9995,1920000,0
2024-11-10,0.9999,0.9998,1.0006,0.9989,1470000,0
2024-11-09,0.9998,0.9999,1.0006,0.9994,737270,0
2024-11-08,0.9999,0.9998,1.0003,0.9996,474130,0
2024-11-07,0.9998,0.9998,1.0004,0.9995,1900000,0
2024-11-06,0.9998,0.9994,1.0003,0.9992,1290000,0
2024-11-05,0.9994,0.9998,1.0002,0.9992,703600,0
2024-11-04,0.9998,0.9998,1.0002,0.9995,660580,0
2024-11-03,0.9998,0.9999,1.0,0.9993,742710,0
2024-11-02,0.9999,0.9998,0.9999,0.9996,813740,0
2024-11-01,0.9998,0.9999,1.0005,0.9993,711880,0
2024-10-31,0.9999,0.9997,1.0007,0.9994,1060000,0
2024-10-30,0.9999,0.9998,1.0048,0.9997,914170,0
2024-10-29,0.9998,1.0,1.0022,0.9997,1200000,0
2024-10-28,1.0,0.9999,1.0001,0.9993,682390,0
2024-10-27,0.9999,0.9997,0.9999,0.9994,436400,0
2024-10-26,0.9997,1.0,1.0001,0.9995,776910,0
2024-10-25,1.0,0.9999,1.0001,0.9993,746020,0
2024-10-24,0.9999,0.9998,1.0001,0.9996,623540,0
2024-10-23,0.9998,0.9998,1.0004,0.9993,624550,0
2024-10-22,0.9998,0.9997,0.9999,0.9995,484130,0
2024-10-21,0.9997,1.0,1.0,0.9991,815000,0
2024-10-20,1.0,0.9998,1.0003,0.9995,154900,0
2024-10-19,0.9998,0.9998,1.0002,0.9997,254260,0
2024-10-18,0.9998,0.9997,1.0001,0.9997,661000,0
2024-10-17,0.9997,0.9997,0.9999,0.9996,483910,0
2024-10-16,0.9997,0.9998,0.9999,0.9994,611220,0
2024-10-15,0.9998,1.0001,1.0002,0.9996,1730000,0
2024-10-14,1.0001,0.9992,1.0005,0.9991,1150000,0
2024-10-13,0.9992,0.9998,1.0,0.9981,725880,0
2024-10-12,0.9998,0.9997,1.0,0.9992,4500000,0
2024-10-11,0.9997,0.9995,1.0,0.9992,466160,0
2024-10-10,0.9995,0.9998,1.0009,0.9989,477280,0
2024-10-09,0.9998,0.9993,0.9999,0.9992,276580,0
