Date,Price,Open,High,Low,Vol.,Change %
2025-01-01,1.0021,1.002,1.0025,1.0018,833040000,0
2024-12-31,1.002,1.0018,1.002,1.0011,910000000,0
2024-12-30,1.0018,1.0018,1.0027,1.0009,1630000000,0
2024-12-29,1.0018,1.0018,1.0023,1.0015,771180000,0
2024-12-28,1.0018,1.0014,1.002,1.0014,558590000,0
2024-12-27,1.0014,1.0012,1.0021,1.001,1320000000,0
2024-12-26,1.0012,1.0008,1.0014,1.0006,925520000,0
2024-12-25,1.0008,1.0007,1.0011,1.0006,536090000,0
2024-12-24,1.0007,1.0013,1.0017,1.0005,1270000000,0
2024-12-23,1.0013,1.0009,1.0016,1.0007,1510000000,0
2024-12-22,1.0009,1.0005,1.0013,1.0005,628760000,0
2024-12-21,1.0005,1.0005,1.0007,1.0002,892160000,0
2024-12-20,1.0005,1.0008,1.0017,1.0001,2360000000,0
2024-12-19,1.0008,1.0004,1.002,1.0003,2010000000,0
2024-12-18,1.0004,0.9999,1.001,0.9997,1550000000,0
2024-12-17,0.9999,0.9996,1.0003,0.9995,1340000000,0
2024-12-16,0.9996,1.0002,1.0007,0.9995,1770000000,0
2024-12-15,1.0003,1.0001,1.0006,1.0,753100000,0
2024-12-14,1.0001,0.9997,1.0002,0.9997,631800000,0
2024-12-13,0.9997,0.9997,1.0001,0.9995,1200000000,0
2024-12-12,0.9997,0.9993,0.9999,0.9991,1240000000,0
2024-12-11,0.9993,0.9993,0.9999,0.9987,1720000000,0
2024-12-10,0.9993,0.9995,0.9999,0.9992,1910000000,0
2024-12-09,0.9995,0.9992,1.0007,0.9991,2270000000,0
2024-12-08,0.9992,0.9991,0.9996,0.9989,701910000,0
2024-12-07,0.9991,0.9984,0.9991,0.9983,842220000,0
2024-12-06,0.9984,0.9988,0.9996,0.9979,1730000000,0
2024-12-05,0.9988,0.9985,0.9997,0.9975,2570000000,0
2024-12-04,0.9985,0.9992,0.9997,0.9975,1830000000,0
2024-12-03,0.9992,0.9997,1.0003,0.9991,1730000000,0
2024-12-02,0.9997,0.9993,1.0,0.9991,2010000000,0
2024-12-01,0.9992,0.9995,0.9998,0.9991,821680000,0
2024-11-30,0.9995,0.9996,0.9997,0.9994,636610000,0
2024-11-29,0.9996,0.9999,1.0,0.9987,1440000000,0
2024-11-28,0.9999,0.999,1.0,0.9988,1030000000,0
2024-11-27,0.9989,1.0004,1.0005,0.9984,1700000000,0
2024-11-26,1.0004,1.0,1.0007,0.9995,2060000000,0
2024-11-25,1.0,0.9989,1.0004,0.9986,1930000000,0
2024-11-24,0.9989,0.999,0.9997,0.9986,1000000000,0
2024-11-23,0.999,0.9988,0.9991,0.9976,1360000000,0
2024-11-22,0.9988,0.9988,0.9995,0.9986,1890000000,0
2024-11-21,0.9988,0.9992,1.0,0.9987,1860000000,0
2024-11-20,0.9992,0.9986,0.9993,0.9983,1640000000,0
2024-11-19,0.9986,0.9994,0.9996,0.9983,1540000000,0
2024-11-18,0.9994,0.9998,1.0001,0.9988,1220000000,0
2024-11-17,0.9998,0.9995,1.0002,0.9994,764540000,0
2024-11-16,0.9995,0.9997,0.9998,0.9993,571880000,0
2024-11-15,0.9997,1.0,1.0002,0.9992,1620000000,0
2024-11-14,1.0,0.9987,1.0002,0.9986,2060000000,0
2024-11-13,0.9987,0.9988,0.9991,0.9975,2510000000,0
2024-11-12,0.9992,0.9986,0.9996,0.9979,2510000000,0
2024-11-11,0.9986,0.9992,0.9994,0.9975,2070000000,0
