Date,Price,Open,High,Low,Vol.,Change %
2025-01-01,0.9983,0.9984,0.9986,0.998,419750000,0
2024-12-31,0.9984,0.9984,0.9992,0.9984,791500000,0
2024-12-30,0.9984,0.9985,0.9993,0.9976,1260000000,0
2024-12-29,0.9985,0.9984,0.999,0.9982,416730000,0
2024-12-28,0.9984,0.9986,0.9987,0.9983,259560000,0
2024-12-27,0.9986,0.999,0.9991,0.9981,838880000,0
2024-12-26,0.999,0.9992,0.9994,0.9989,722270000,0
2024-12-25,0.9992,0.9993,0.9994,0.9989,280130000,0
2024-12-24,0.9993,0.9988,0.9995,0.9984,1030000000,0
2024-12-23,0.9988,0.9991,0.9993,0.9985,975870000,0
2024-12-22,0.9991,0.9995,0.9996,0.9989,650590000,0
2024-12-21,0.9995,0.9996,0.9998,0.9994,679700000,0
2024-12-20,0.9996,0.9992,0.9999,0.9985,1600000000,0
2024-12-19,0.9992,0.9995,0.9997,0.998,1600000000,0
2024-12-18,0.9995,1.0,1.0001,0.9989,1550000000,0
2024-12-17,1.0,1.0001,1.0002,0.9996,1340000000,0
2024-12-16,1.0001,0.9996,1.0003,0.9992,1180000000,0
2024-12-15,0.9997,0.9997,1.0,0.9994,382240000,0
2024-12-14,0.9997,1.0001,1.0001,0.9997,372060000,0
2024-12-13,1.0001,1.0001,1.0003,0.9998,1100000000,0
2024-12-12,1.0001,1.0006,1.0007,1.0,887550000,0
2024-12-11,1.0006,1.0006,1.0011,1.0001,2140000000,0
2024-12-10,1.0006,1.0005,1.0007,1.0,1150000000,0
2024-12-09,1.0005,1.0006,1.0009,0.9993,1390000000,0
2024-12-08,1.0006,1.0008,1.0008,1.0003,592270000,0
2024-12-07,1.0008,1.0014,1.0014,1.0007,621470000,0
2024-12-06,1.0014,1.0009,1.0018,1.0001,1250000000,0
2024-12-05,1.0009,1.0014,1.0021,1.0003,1680000000,0
2024-12-04,1.0014,1.0008,1.0024,1.0004,1150000000,0
2024-12-03,1.0008,1.0004,1.0009,0.9997,715960000,0
2024-12-02,1.0004,1.0007,1.0008,1.0001,992190000,0
2024-12-01,1.0007,1.0006,1.0009,1.0003,318160000,0
2024-11-30,1.0006,1.0004,1.0007,1.0003,382200000,0
2024-11-29,1.0004,1.0002,1.0013,1.0001,669680000,0
2024-11-28,1.0002,1.0009,1.0011,1.0001,743910000,0
2024-11-27,1.0009,0.9997,1.0015,0.9996,964560000,0
2024-11-26,0.9997,1.0001,1.0007,0.9994,682520000,0
2024-11-25,1.0,1.0008,1.001,0.9997,1030000000,0
2024-11-24,1.0008,1.0005,1.0011,1.0001,644180000,0
2024-11-23,1.0005,1.0007,1.002,1.0003,1110000000,0
2024-11-22,1.0008,1.0009,1.0011,1.0003,2070000000,0
2024-11-21,1.0009,1.0007,1.0009,0.9998,1190000000,0
2024-11-20,1.0007,1.0012,1.0014,1.0004,1400000000,0
2024-11-19,1.0012,1.0006,1.0014,1.0004,947240000,0
2024-11-18,1.0006,1.0001,1.0011,0.9998,658840000,0
2024-11-17,1.0001,1.0003,1.0004,0.9998,593350000,0
2024-11-16,1.0004,1.0003,1.0005,1.0001,413110000,0
2024-11-15,1.0003,1.0,1.0005,0.9997,698210000,0
2024-11-14,1.0,1.0012,1.0012,0.9998,1390000000,0
2024-11-13,1.0012,1.0009,1.0024,1.0008,1780000000,0
2024-11-12,1.0009,1.0011,1.0018,1.0002,1630000000,0
2024-11-11,1.0011,1.0006,1.0021,1.0005,1220000000,0
2024-11-10,1.0006,1.0004,1.0009,1.0002,746580000,0
2024-11-09,1.0004,1.0006,1.0006,1.0002,493610000,0
2024-11-08,1.0006,1.0007,1.0013,1.0004,1700000000,0
2024-11-07,1.0007,1.0008,1.0014,1.0002,1340000000,0
2024-11-06,1.0008,1.0,1.0014,0.9998,1320000000,0
2024-11-05,1.0,0.9995,1.0001,0.9993,390570000,0
2024-11-04,0.9995,0.9997,0.9998,0.9991,577300000,0
2024-11-03,0.9997,0.9997,1.0,0.9996,182790000,0
2024-11-02,0.9997,0.9995,0.9998,0.9995,169570000,0
