Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2025-01-01,708.02,702.39,710.87,700.32,143020.0,0,0.8015489969959599,0.0079835365647953,Wednesday,0,0,1,0,0,0,-0.17388486431738737
2024-12-31,702.39,705.36,714.75,698.62,244320.0,0,-0.4210615855733235,-0.0042195054612604,Tuesday,0,1,0,0,0,0,-0.16926306202181143
2024-12-30,705.36,694.71,712.17,687.96,312010.0,0,1.5330137755322326,0.0152138184807896,Monday,1,0,0,0,0,0,-0.1661747125905426
2024-12-29,694.71,722.28,724.12,690.57,252030.0,0,-3.817079249044686,-0.0389183830496978,Sunday,0,0,0,0,0,0,-0.1689112940484759
2024-12-28,722.28,691.84,731.04,691.58,358390.0,0,4.407406872027631,0.0431304339938971,Saturday,0,0,0,0,0,1,-0.16405862976261748
2024-12-27,691.79,689.55,710.85,685.88,360780.0,0,0.3248495395547834,0.0032432304334358,Friday,0,0,0,0,1,0,-0.16394958625337339
2024-12-26,689.55,702.64,719.49,683.06,399280.0,0,-1.8629739269042545,-0.0188054586885153,Thursday,0,0,0,1,0,0,-0.16219302763165896
2024-12-25,702.64,696.76,713.13,695.99,246440.0,0,0.8439060795682796,0.0084036509996009,Wednesday,0,0,1,0,0,0,-0.16916633723536897
2024-12-24,696.76,694.04,698.9,682.89,404020.0,0,0.3919082473632596,0.0039114228757899,Tuesday,0,1,0,0,0,0,-0.16197676560914137
2024-12-23,694.04,649.89,698.19,638.3,629320.0,0,6.793457354321508,0.0657264779341614,Monday,1,0,0,0,0,0,-0.15169747580466697
2024-12-22,649.89,663.12,669.59,639.79,346830.0,0,-1.9951140065146644,-0.0201528514839611,Sunday,0,0,0,0,0,0,-0.16458605359812448
2024-12-21,663.12,678.67,692.94,652.54,549770.0,0,-2.2912461137224227,-0.0231790312983266,Saturday,0,0,0,0,0,1,-0.1553269365412224
2024-12-20,678.67,665.42,679.9,619.23,1060000.0,0,1.989690876576056,0.0197015523507898,Friday,0,0,0,0,1,0,-0.1320477441890831
2024-12-19,665.43,687.39,704.85,650.03,899950.0,0,-3.194692969056878,-0.0324683685085533,Thursday,0,0,0,1,0,0,-0.13935000931649602
2024-12-18,687.39,717.52,721.99,683.67,773930.0,0,-4.199186085405282,-0.0428990050703867,Wednesday,0,0,1,0,0,0,-0.14509965912191045
2024-12-17,717.52,720.45,736.53,712.82,531750.0,0,-0.4066902630300628,-0.0040751949691955,Tuesday,0,1,0,0,0,0,-0.1561490972259833
2024-12-16,720.45,718.61,729.99,704.37,515070.0,0,0.2560498740624251,0.0025572262486745,Monday,1,0,0,0,0,0,-0.15691012054572867
2024-12-15,718.61,715.89,723.94,702.95,297320.0,0,0.3799466398469064,0.0037922666570337,Sunday,0,0,0,0,0,0,-0.16684494236074998
2024-12-14,715.89,725.74,731.91,705.32,359820.0,0,-1.373543107486297,-0.0138306348904619,Saturday,0,0,0,0,0,1,-0.1639933861566681
2024-12-13,725.86,705.71,729.76,697.71,574090.0,0,2.855280497654844,0.0281527705299756,Friday,0,0,0,0,1,0,-0.15421733899109005
2024-12-12,705.71,711.41,725.56,699.38,609490.0,0,-0.8012257348083307,-0.0080445279712673,Thursday,0,0,0,1,0,0,-0.15260221755709807
2024-12-11,711.41,676.92,712.46,658.72,556730.0,0,5.095136796076338,0.0496958186651032,Wednesday,0,0,1,0,0,0,-0.15500938724233584
2024-12-10,676.92,689.21,704.59,650.0,1070000.0,0,-1.898495695776936,-0.0191674851385947,Tuesday,0,1,0,0,0,0,-0.13159149519643001
2024-12-09,690.02,741.84,742.14,651.3,1120000.0,0,-6.985333764693202,-0.0724130038134908,Monday,1,0,0,0,0,0,-0.12931025023316448
2024-12-08,741.84,749.46,757.14,728.07,355440.0,0,-1.0167320470738983,-0.0102193607139023,Sunday,0,0,0,0,0,0,-0.16419322321545016
2024-12-07,749.46,730.44,760.48,729.86,463190.0,0,2.6039099720716274,0.0257058549120395,Saturday,0,0,0,0,0,1,-0.15927714031961296
2024-12-06,730.44,717.32,745.52,705.63,781270.0,0,1.8290302793732227,0.0181250472136099,Friday,0,0,0,0,1,0,-0.14476477236130306
2024-12-05,717.32,739.23,739.23,693.03,1240000.0,0,-2.963894863574257,-0.0300870588393102,Thursday,0,0,0,1,0,0,-0.12383526232132724
2024-12-04,739.23,735.07,793.2,721.53,2210000.0,0,0.5659324962248524,0.0056433711463184,Wednesday,0,0,1,0,0,0,-0.07957911003397622
2024-12-03,735.07,647.77,746.05,624.66,1630000.0,0,13.477005727341496,0.126430037698043,Tuesday,0,1,0,0,0,0,-0.10604155160785621
2024-12-02,647.77,656.03,666.93,629.08,802120.0,0,-1.2590887611847013,-0.0126708245305711,Monday,1,0,0,0,0,0,-0.14381349321162135
2024-12-01,656.03,653.72,664.1,645.75,446330.0,0,0.3533622957841098,0.003527394380886,Sunday,0,0,0,0,0,0,-0.1600463761212261
