Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2025-01-01,94560.2,93557.3,95100.0,92939.3,43340.0,0,1.0720714172719914,0.010663654765993,Wednesday,0,0,1,0,0,0,-0.13073138948373839
2024-12-31,93557.2,92777.2,96163.4,92036.2,74850.0,0,0.8378979045007506,0.0083440702644962,Tuesday,0,1,0,0,0,0,-0.13060773369984524
2024-12-30,92779.8,93718.7,94936.4,91522.3,112430.0,0,-0.999292545693764,-0.0100431898759407,Monday,1,0,0,0,0,0,-0.13046025720480542
2024-12-29,93716.3,95282.6,95315.4,93026.7,47710.0,0,-1.6458080800130117,-0.0165950195906996,Sunday,0,0,0,0,0,0,-0.13071424014144664
2024-12-28,95284.5,94274.9,95684.3,94124.7,32970.0,0,1.0698386332031795,0.0106415635126913,Saturday,0,0,0,0,0,1,-0.13077208483375335
2024-12-27,94275.9,95776.4,97243.3,93472.8,85120.0,0,-1.568005913693904,-0.0158042916239464,Friday,0,0,0,0,1,0,-0.1305674307832923
2024-12-26,95777.7,99389.4,99922.5,95193.3,74600.0,0,-3.6357306927266353,-0.0370347034188946,Thursday,0,0,0,1,0,0,-0.13060871478350036
2024-12-25,99391.3,98661.9,99514.1,97651.9,39800.0,0,0.7329623252094519,0.0073028921036117,Wednesday,0,0,1,0,0,0,-0.1307452816282951
2024-12-24,98668.1,94852.8,99446.6,93566.2,69860.0,0,4.023105445214181,0.0394428562201271,Tuesday,0,1,0,0,0,0,-0.1306273161296017
2024-12-23,94852.1,95184.8,96517.8,92543.2,133240.0,0,-0.3484836705405669,-0.00349092289253,Monday,1,0,0,0,0,0,-0.13037859180135203
2024-12-22,95183.8,97281.6,97422.2,94265.2,100640.0,0,-2.1279483575364577,-0.0215091558349282,Sunday,0,0,0,0,0,0,-0.13050652510998156
2024-12-21,97253.3,97799.1,99531.9,96478.6,123360.0,0,-0.5546256123735493,-0.0055616937092261,Saturday,0,0,0,0,0,1,-0.13041736422740294
2024-12-20,97795.7,97468.3,98178.2,92301.9,221180.0,0,0.3381688607628552,0.0033759835568944,Friday,0,0,0,0,1,0,-0.1300334858148219
2024-12-19,97466.1,100190.5,102778.8,95672.2,200570.0,0,-2.726307364033942,-0.0276416070847773,Thursday,0,0,0,1,0,0,-0.1301143663513512
2024-12-18,100197.8,106140.7,106477.6,100049.3,187490.0,0,-5.597476514265731,-0.0576023813535202,Wednesday,0,0,1,0,0,0,-0.13016569664818783
2024-12-17,106138.9,106053.4,108244.9,105350.6,149370.0,0,0.0766564583773332,0.0007662709232063,Tuesday,0,1,0,0,0,0,-0.13031529228392275
2024-12-16,106057.6,104479.2,107767.6,103351.7,232660.0,0,1.5459149966967622,0.0153408747072518,Monday,1,0,0,0,0,0,-0.12998843445337815
2024-12-15,104443.0,101417.9,105120.9,101234.9,133990.0,0,2.983009869085973,0.0293938359080263,Sunday,0,0,0,0,0,0,-0.1303756485503866
2024-12-14,101417.7,101423.7,102633.0,100626.3,105310.0,0,-0.0083804776280671,-8.380828809714127e-05,Saturday,0,0,0,0,0,1,-0.13048819846730364
2024-12-13,101426.2,100008.3,101891.2,99214.2,162400.0,0,1.4161598001797948,0.0140622593371199,Friday,0,0,0,0,1,0,-0.13026415820381715
2024-12-12,100009.9,101126.3,102495.3,99334.5,188960.0,0,-1.103868235926997,-0.0111000607221888,Thursday,0,0,0,1,0,0,-0.13015992787629566
2024-12-11,101126.2,96603.2,101877.1,95689.5,250020.0,0,4.685182137115507,0.0457873950063913,Wednesday,0,0,1,0,0,0,-0.1299203080043656
2024-12-10,96600.3,97311.5,98237.8,94304.5,271450.0,0,-0.7796884532977777,-0.0078274391614181,Tuesday,0,1,0,0,0,0,-0.1298362095134475
2024-12-09,97359.4,101129.7,101198.6,94395.8,321010.0,0,-3.7149486034823487,-0.0378571087606964,Monday,1,0,0,0,0,0,-0.1296417194896536
2024-12-08,101115.8,99837.0,101339.9,98713.9,128930.0,0,1.2808878471909146,0.0127275386330845,Sunday,0,0,0,0,0,0,-0.13039550568356653
2024-12-07,99837.0,99757.2,100441.8,98969.0,118440.0,0,0.0764830238761282,0.0007645379051617,Saturday,0,0,0,0,0,1,-0.13043667195373598
