Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2025-01-01,3360.14,3337.8,3373.11,3315.98,209220.0,0,0.6693031338006916,0.0066707324465824,Wednesday,0,0,1,0,0,0,-0.11552329413066578
2024-12-31,3337.8,3361.99,3449.27,3317.39,333440.0,0,-0.7195143352597633,-0.0072211532348466,Tuesday,0,1,0,0,0,0,-0.11444381591677526
2024-12-30,3361.99,3355.97,3436.83,3306.11,494990.0,0,0.1793818180734652,0.0017922112103566,Monday,1,0,0,0,0,0,-0.11303993807541304
2024-12-29,3355.97,3404.53,3412.32,3327.45,176430.0,0,-1.4280721026614152,-0.0143836718397557,Sunday,0,0,0,0,0,0,-0.11580824092372222
2024-12-28,3404.59,3334.23,3427.65,3322.42,196380.0,0,2.111457355459656,0.0208947498843182,Saturday,0,0,0,0,0,1,-0.11563487439363757
2024-12-27,3334.19,3335.96,3438.85,3309.03,378000.0,0,-0.0530581901461602,-0.0005307227098478,Friday,0,0,0,0,1,0,-0.1140565872159947
2024-12-26,3335.96,3496.5,3512.77,3305.53,360400.0,0,-4.591175721938279,-0.0469991141378936,Thursday,0,0,0,1,0,0,-0.11420953212474105
2024-12-25,3496.49,3493.33,3546.29,3442.61,259250.0,0,0.0910311423835796,0.0009098973416683,Wednesday,0,0,1,0,0,0,-0.11508853084745098
2024-12-24,3493.31,3422.01,3539.54,3359.77,352360.0,0,2.083570766888454,0.0206216130797544,Tuesday,0,1,0,0,0,0,-0.11427940013987292
2024-12-23,3422.01,3281.58,3463.58,3220.1,547740.0,0,4.279341049128793,0.0419030840040106,Monday,1,0,0,0,0,0,-0.11258153785175562
2024-12-22,3281.58,3338.72,3401.96,3223.39,400570.0,0,-1.7096679506149126,-0.0172445151531263,Sunday,0,0,0,0,0,0,-0.11386045275063075
2024-12-21,3338.66,3474.05,3555.05,3294.0,521990.0,0,-3.8960739894243313,-0.0397400174584373,Saturday,0,0,0,0,0,1,-0.11280530668131351
2024-12-20,3474.01,3418.83,3496.35,3103.72,1450000.0,0,1.6137052333540014,0.0160082340879835,Friday,0,0,0,0,1,0,-0.10474085186507984
2024-12-19,3418.84,3627.82,3719.52,3337.46,1170000.0,0,-5.762042845959625,-0.059347143377911,Thursday,0,0,0,1,0,0,-0.10717406632240835
2024-12-18,3627.88,3892.79,3902.3,3620.61,781620.0,0,-6.805144896077097,-0.0704776685678819,Wednesday,0,0,1,0,0,0,-0.11054910857575564
2024-12-17,3892.79,3986.91,4040.69,3851.17,493600.0,0,-2.3607254741140338,-0.0238903705822302,Tuesday,0,1,0,0,0,0,-0.11305201724718335
2024-12-16,3986.91,3959.89,4102.9,3885.84,726410.0,0,0.684376270578646,0.0068204504636626,Monday,1,0,0,0,0,0,-0.11102888632643103
2024-12-15,3959.81,3871.13,3973.48,3832.12,272400.0,0,2.290803977133282,0.0226495902322544,Sunday,0,0,0,0,0,0,-0.11497425666847287
2024-12-14,3871.13,3906.78,3943.06,3828.23,287750.0,0,-0.9809488729958904,-0.0098579187405573,Saturday,0,0,0,0,0,1,-0.11484086437590146
2024-12-13,3909.48,3881.57,3966.5,3853.92,417740.0,0,0.7174820887101419,0.0071492043162771,Friday,0,0,0,0,1,0,-0.11371124456408671
2024-12-12,3881.63,3831.7,3985.32,3797.58,634180.0,0,1.3107446083817864,0.0130222868519042,Thursday,0,0,0,1,0,0,-0.11183036978857178
2024-12-11,3831.41,3628.97,3848.02,3564.79,509730.0,0,5.579315171923471,0.0542922870435073,Wednesday,0,0,1,0,0,0,-0.11291184671433796
2024-12-10,3628.94,3718.98,3778.81,3521.57,1020000.0,0,-2.4210939558696243,-0.024508842524788,Tuesday,0,1,0,0,0,0,-0.10847757406740575
2024-12-09,3718.98,4002.91,4005.08,3550.21,1020000.0,0,-7.093089777187089,-0.0735721594812959,Monday,1,0,0,0,0,0,-0.10847757406740575
2024-12-08,4002.91,3996.25,4015.24,3924.77,273270.0,0,0.1669068924789352,0.0016676775772063,Sunday,0,0,0,0,0,0,-0.11496669632355189
2024-12-07,3996.24,3998.92,4023.96,3969.39,303070.0,0,-0.0817600156019171,-0.0008179345733189,Saturday,0,0,0,0,0,1,-0.11470773278487907
2024-12-06,3999.51,3785.07,4084.99,3780.34,864640.0,0,5.664579535547287,0.0550995469964847,Friday,0,0,0,0,1,0,-0.10982766048915775
2024-12-05,3785.1,3836.23,3950.67,3696.83,1050000.0,0,-1.3333333333333308,-0.0134230203321406,Thursday,0,0,0,1,0,0,-0.10821687251840628
2024-12-04,3836.25,3615.07,3885.69,3615.07,1060000.0,0,6.118277101134972,0.0593841077664537,Wednesday,0,0,1,0,0,0,-0.10812997200207312
2024-12-03,3615.07,3643.5,3669.4,3510.19,729650.0,0,-0.7797490311460487,-0.0078280497003875,Tuesday,0,1,0,0,0,0,-0.11100073055913909
2024-12-02,3643.48,3707.86,3756.7,3561.95,799750.0,0,-1.7487656168679644,-0.0176423716216429,Monday,1,0,0,0,0,0,-0.11039155793964363
2024-12-01,3708.33,3702.96,3743.78,3660.98,465310.0,0,0.1447486747124582,0.0014464401480201,Sunday,0,0,0,0,0,0,-0.11329785880788987
2024-11-30,3702.97,3592.13,3733.47,3572.64,563910.0,0,3.085634428598061,0.0303898590375617,Saturday,0,0,0,0,0,1,-0.11244101971684489
2024-11-29,3592.13,3578.42,3642.95,3539.02,472940.0,0,0.3834105091367501,0.0038267736441591,Friday,0,0,0,0,1,0,-0.11323155371392767
2024-11-28,3578.41,3653.26,3661.4,3530.79,613220.0,0,-2.0630632849725883,-0.0208464173622661,Thursday,0,0,0,1,0,0,-0.11201251327080608
2024-11-27,3653.79,3326.3,3684.68,3303.79,827390.0,0,9.845473950034568,0.0939044099002487,Wednesday,0,0,1,0,0,0,-0.11015136491249877
2024-11-26,3326.3,3412.15,3460.4,3254.45,729510.0,0,-2.516866050442812,-0.0254908080806904,Tuesday,0,1,0,0,0,0,-0.11100194716636776
2024-11-25,3412.18,3361.47,3544.71,3301.68,1020000.0,0,1.5103780853867876,0.0149908544135353,Monday,1,0,0,0,0,0,-0.10847757406740575
2024-11-24,3361.41,3393.92,3448.58,3285.45,525450.0,0,-0.9575975791933145,-0.009622120270007,Sunday,0,0,0,0,0,0,-0.11277523910266224
2024-11-23,3393.91,3327.68,3495.09,3316.84,785630.0,0,1.98751716615031,0.0196802390830313,Saturday,0,0,0,0,0,1,-0.11051426146870605
2024-11-22,3327.77,3356.42,3424.47,3261.04,661770.0,0,-0.8538834416329188,-0.0085754991280548,Friday,0,0,0,0,1,0,-0.11159061126400859
2024-11-21,3356.43,3069.96,3386.41,3034.44,1060000.0,0,9.33993979906962,0.0892915568939168,Thursday,0,0,0,1,0,0,-0.10812997200207312
2024-11-20,3069.72,3106.07,3158.15,3030.91,550530.0,0,-1.1671072161031804,-0.01173971372687,Wednesday,0,0,1,0,0,0,-0.11255729260769867
2024-11-19,3105.97,3207.54,3219.8,3066.26,549160.0,0,-3.164185991407542,-0.0321532807034635,Tuesday,0,1,0,0,0,0,-0.11256919797843631
2024-11-18,3207.46,3075.42,3220.65,3052.29,698670.0,0,4.293397324593062,0.0420378693608616,Monday,1,0,0,0,0,0,-0.11126994835873923
2024-11-17,3075.42,3132.04,3160.1,3037.49,485170.0,0,-1.8065134099616853,-0.0182303008311536,Sunday,0,0,0,0,0,0,-0.1131252743824522
2024-11-16,3132.0,3089.44,3215.9,3072.83,456290.0,0,1.3772677984754678,0.0136786965891386,Saturday,0,0,0,0,0,1,-0.11337624307362237
2024-11-15,3089.45,3058.15,3128.59,3015.75,557270.0,0,1.0211822563451989,0.0101600341742381,Friday,0,0,0,0,1,0,-0.11249872165969012
2024-11-14,3058.22,3187.02,3238.39,3038.03,661290.0,0,-4.0413928999504245,-0.0412532635445236,Thursday,0,0,0,1,0,0,-0.11159478248879258
2024-11-13,3187.02,3244.57,3326.89,3117.79,988070.0,0,-1.7092066468462064,-0.0172398218869975,Wednesday,0,0,1,0,0,0,-0.10875504741605754
2024-11-12,3242.44,3372.15,3440.05,3209.16,1040000.0,0,-3.8459371376548415,-0.0392184593874313,Tuesday,0,1,0,0,0,0,-0.10830377303473944
2024-11-11,3372.13,3185.97,3384.62,3107.45,1060000.0,0,5.8404607586196144,0.0567626871596585,Monday,1,0,0,0,0,0,-0.10812997200207312
2024-11-10,3186.05,3126.25,3247.49,3076.4,925650.0,0,1.865913821382548,0.0184871921119554,Sunday,0,0,0,0,0,0,-0.10929748043900914
2024-11-09,3127.69,2961.62,3153.38,2954.56,560620.0,0,5.617389425057562,0.0546528443128001,Saturday,0,0,0,0,0,1,-0.11246960998671851
2024-11-08,2961.34,2894.2,2981.51,2887.19,598520.0,0,2.322286835767562,0.022957320874098,Friday,0,0,0,0,1,0,-0.11214025702981582
2024-11-07,2894.13,2721.85,2914.81,2700.01,784350.0,0,6.329518526002542,0.0613727515540763,Thursday,0,0,0,1,0,0,-0.1105253847347967
2024-11-06,2721.85,2422.5,2740.34,2422.03,1070000.0,0,12.357069143446854,0.1165117313887596,Wednesday,0,0,1,0,0,0,-0.10804307148573995
2024-11-05,2422.5,2398.95,2478.74,2380.8,365020.0,0,0.9816794847745892,0.0097689231599318,Tuesday,0,1,0,0,0,0,-0.11416938408619513
2024-11-04,2398.95,2457.68,2490.21,2362.91,335810.0,0,-2.389652029556333,-0.0241866739018894,Monday,1,0,0,0,0,0,-0.1144232204944043
2024-11-03,2457.68,2492.54,2496.33,2411.72,305380.0,0,-1.3950129390760124,-0.0140483469473648,Sunday,0,0,0,0,0,0,-0.1146876587656061
2024-11-02,2492.45,2511.96,2523.41,2472.02,158360.0,0,-0.7766843421073699,-0.0077971624401854,Saturday,0,0,0,0,0,1,-0.11596527015673623
2024-11-01,2511.96,2519.14,2584.17,2471.45,463340.0,0,-0.2850179029351252,-0.0028542485239657,Friday,0,0,0,0,1,0,-0.1133149782096075
2024-10-31,2519.14,2658.62,2668.39,2506.64,432070.0,0,-5.246330803198651,-0.0538896177431461,Thursday,0,0,0,1,0,0,-0.1135867161241813
2024-10-30,2658.62,2638.64,2719.9,2600.61,494310.0,0,0.7572082587999907,0.0075435582724605,Wednesday,0,0,1,0,0,0,-0.1130458473105237
2024-10-29,2638.64,2567.41,2679.5,2561.32,486720.0,0,2.7743913126458297,0.0273660242547983,Tuesday,0,1,0,0,0,0,-0.11311180480242057
2024-10-28,2567.41,2507.82,2587.71,2473.03,393160.0,0,2.3937241514084384,0.0236552371552533,Monday,1,0,0,0,0,0,-0.11392484603323362
2024-10-27,2507.39,2482.52,2525.37,2465.72,148630.0,0,1.00180461788828,0.0099681981973904,Sunday,0,0,0,0,0,0,-0.1160498243591284
2024-10-26,2482.52,2441.2,2506.39,2430.77,265530.0,0,1.6934433347807198,0.0167926443369774,Saturday,0,0,0,0,0,1,-0.11503395732319376
2024-10-25,2441.18,2535.87,2564.13,2386.98,550790.0,0,-3.7340242204844887,-0.03805524446887,Friday,0,0,0,0,1,0,-0.112555033194274
2024-10-24,2535.87,2524.64,2561.75,2508.98,312650.0,0,0.3867622026048067,0.0038601620048214,Thursday,0,0,0,1,0,0,-0.11462448209023189
2024-10-23,2526.1,2622.91,2625.51,2463.67,385150.0,0,-3.6497965130693135,-0.0371806791742566,Wednesday,0,0,1,0,0,0,-0.11399445334681647
2024-10-22,2621.79,2666.66,2671.28,2607.54,293690.0,0,-1.6826292065730164,-0.016969462407772,Tuesday,0,1,0,0,0,0,-0.11478924546919957
