Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2025-01-01,1.0021,1.002,1.0025,1.0018,833040000.0,0,0.0099800399201654,9.979541947313104e-05,Wednesday,0,0,1,0,0,0,-0.11498385939999796
2024-12-31,1.002,1.0018,1.002,1.0011,910000000.0,0,0.0199640646835641,0.0001996207212936,Tuesday,0,1,0,0,0,0,-0.11433394580304737
2024-12-30,1.0018,1.0018,1.0027,1.0009,1630000000.0,0,0.0,0.0,Monday,1,0,0,0,0,0,-0.10825367306650335
2024-12-29,1.0018,1.0018,1.0023,1.0015,771180000.0,0,0.0,0.0,Sunday,0,0,0,0,0,0,-0.11550625616594604
2024-12-28,1.0018,1.0014,1.002,1.0014,558590000.0,0,0.0399440782903992,0.000399361027672,Saturday,0,0,0,0,0,1,-0.11730154113964311
2024-12-27,1.0014,1.0012,1.0021,1.001,1320000000.0,0,0.0199760287654893,0.0001997403382253,Friday,0,0,0,0,1,0,-0.11087156827251536
2024-12-26,1.0012,1.0008,1.0014,1.0006,925520000.0,0,0.0399680255795509,0.0003996004049179,Thursday,0,0,0,1,0,0,-0.11420288214628187
2024-12-25,1.0008,1.0007,1.0011,1.0006,536090000.0,0,0.009993004896569,9.992505629095692e-05,Wednesday,0,0,1,0,0,0,-0.11749154966266011
2024-12-24,1.0007,1.0013,1.0017,1.0005,1270000000.0,0,-0.0599221012683615,-0.0005994006173468,Tuesday,0,1,0,0,0,0,-0.11129380943477536
2024-12-23,1.0013,1.0009,1.0016,1.0007,1510000000.0,0,0.039964032370876,0.000399560488784,Monday,1,0,0,0,0,0,-0.10926705185592735
2024-12-22,1.0009,1.0005,1.0013,1.0005,628760000.0,0,0.0399800099949887,0.0003997202011849,Sunday,0,0,0,0,0,0,-0.11670896789252742
2024-12-21,1.0005,1.0005,1.0007,1.0002,892160000.0,0,0.0,0.0,Saturday,0,0,0,0,0,1,-0.11448460144974174
2024-12-20,1.0005,1.0008,1.0017,1.0001,2360000000.0,0,-0.029976019184652,-0.0002998051289132,Friday,0,0,0,0,1,0,-0.10208895209750733
2024-12-19,1.0008,1.0004,1.002,1.0003,2010000000.0,0,0.0399840063974421,0.0003997601492374,Thursday,0,0,0,1,0,0,-0.10504464023332734
2024-12-18,1.0004,0.9999,1.001,0.9997,1550000000.0,0,0.0500050005000529,0.0004999250216603,Wednesday,0,0,1,0,0,0,-0.10892925892611935
2024-12-17,0.9999,0.9996,1.0003,0.9995,1340000000.0,0,0.030012004801927,0.0003000750210064,Tuesday,0,1,0,0,0,0,-0.11070267180761136
2024-12-16,0.9996,1.0002,1.0007,0.9995,1770000000.0,0,-0.0699790062981042,-0.0007000350303376,Monday,1,0,0,0,0,0,-0.10707139781217534
2024-12-15,1.0003,1.0001,1.0006,1.0,753100000.0,0,0.0199980001999833,0.0001999600086647,Sunday,0,0,0,0,0,0,-0.11565893857021925
2024-12-14,1.0001,0.9997,1.0002,0.9997,631800000.0,0,0.0400120036010864,0.0004000400093353,Saturday,0,0,0,0,0,1,-0.11668329562986202
2024-12-13,0.9997,0.9997,1.0001,0.9995,1200000000.0,0,0.0,0.0,Friday,0,0,0,0,1,0,-0.11188494706193937
2024-12-12,0.9997,0.9993,0.9999,0.9991,1240000000.0,0,0.0400280196137359,0.0004002001053914,Thursday,0,0,0,1,0,0,-0.11154715413213136
2024-12-11,0.9993,0.9993,0.9999,0.9987,1720000000.0,0,0.0,0.0,Wednesday,0,0,1,0,0,0,-0.10749363897443534
2024-12-10,0.9993,0.9995,0.9999,0.9992,1910000000.0,0,-0.0200100050025131,-0.0002001200727112,Tuesday,0,1,0,0,0,0,-0.10588912255784734
2024-12-09,0.9995,0.9992,1.0007,0.9991,2270000000.0,0,0.0300240192153911,0.000300195129087,Monday,1,0,0,0,0,0,-0.10284898618957533
2024-12-08,0.9992,0.9991,0.9996,0.9989,701910000.0,0,0.0100090081073034,0.000100085072395,Sunday,0,0,0,0,0,0,-0.11609122907214105
2024-12-07,0.9991,0.9984,0.9991,0.9983,842220000.0,0,0.0701121794871806,0.0007008761238097,Saturday,0,0,0,0,0,1,-0.11490633592260703
2024-12-06,0.9984,0.9988,0.9996,0.9979,1730000000.0,0,-0.0400480576692063,-0.0004005607904549,Friday,0,0,0,0,1,0,-0.10740919074198335
2024-12-05,0.9988,0.9985,0.9997,0.9975,2570000000.0,0,0.030045067601403,0.0003004055497482,Thursday,0,0,0,1,0,0,-0.10031553921601533
2024-12-04,0.9985,0.9992,0.9997,0.9975,1830000000.0,0,-0.0700560448358644,-0.0007008059554979,Wednesday,0,0,1,0,0,0,-0.10656470841746335
2024-12-03,0.9992,0.9997,1.0003,0.9991,1730000000.0,0,-0.050015004501358,-0.0005002751617671,Tuesday,0,1,0,0,0,0,-0.10740919074198335
2024-12-02,0.9997,0.9993,1.0,0.9991,2010000000.0,0,0.0500400320256222,0.0005002751617671,Monday,1,0,0,0,0,0,-0.10504464023332734
2024-12-01,0.9992,0.9995,0.9998,0.9991,821680000.0,0,-0.0300150075037586,-0.0003001951290869,Sunday,0,0,0,0,0,0,-0.11507979259206344
2024-11-30,0.9995,0.9996,0.9997,0.9994,636610000.0,0,-0.0100040016006386,-0.0001000450203425,Saturday,0,0,0,0,0,1,-0.1166426760300526
2024-11-29,0.9996,0.9999,1.0,0.9987,1440000000.0,0,-0.0300030003000273,-0.0003000750210063,Friday,0,0,0,0,1,0,-0.10985818948309135
2024-11-28,0.9999,0.999,1.0,0.9988,1030000000.0,0,0.1001101211332455,0.0010006004436996,Thursday,0,0,0,1,0,0,-0.11332056701362336
2024-11-27,0.9989,1.0004,1.0005,0.9984,1700000000.0,0,-0.1499400239904025,-0.0015005254653599,Wednesday,0,0,1,0,0,0,-0.10766253543933935
2024-11-26,1.0004,1.0,1.0007,0.9995,2060000000.0,0,0.0399999999999955,0.0003999200213268,Tuesday,0,1,0,0,0,0,-0.10462239907106734
2024-11-25,1.0,0.9989,1.0004,0.9986,1930000000.0,0,0.1101211332465768,0.001100605444033,Monday,1,0,0,0,0,0,-0.10572022609294335
2024-11-24,0.9989,0.999,0.9997,0.9986,1000000000.0,0,-0.0100100100100086,-0.0001001051104494,Sunday,0,0,0,0,0,0,-0.11357391171097937
2024-11-23,0.999,0.9988,0.9991,0.9976,1360000000.0,0,0.0200240288346087,0.0002002202429354,Saturday,0,0,0,0,0,1,-0.11053377534270736
2024-11-22,0.9988,0.9988,0.9995,0.9986,1890000000.0,0,0.0,0.0,Friday,0,0,0,0,1,0,-0.10605801902275135
2024-11-21,0.9988,0.9992,1.0,0.9987,1860000000.0,0,-0.0400320256204955,-0.0004004004057497,Thursday,0,0,0,1,0,0,-0.10631136372010734
2024-11-20,0.9992,0.9986,0.9993,0.9983,1640000000.0,0,0.0600841177648581,0.0006006607448588,Wednesday,0,0,1,0,0,0,-0.10816922483405135
2024-11-19,0.9986,0.9994,0.9996,0.9983,1540000000.0,0,-0.0800480288172811,-0.0008008008435956,Tuesday,0,1,0,0,0,0,-0.10901370715857135
2024-11-18,0.9994,0.9998,1.0001,0.9988,1220000000.0,0,-0.0400080016003223,-0.0004001600693653,Monday,1,0,0,0,0,0,-0.11171605059703536
