Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2025-01-01,0.9983,0.9984,0.9986,0.998,419750000.0,0,-0.0100160256410242,-0.0001001652727836,Wednesday,0,0,1,0,0,0,1.021013998704402
2024-12-31,0.9984,0.9984,0.9992,0.9984,791500000.0,0,0.0,0.0,Tuesday,0,1,0,0,0,0,2.7143902286679062
2024-12-30,0.9984,0.9985,0.9993,0.9976,1260000000.0,0,-0.0100150225338158,-0.0001001552407068,Monday,1,0,0,0,0,0,4.8484770174719465
2024-12-29,0.9985,0.9984,0.999,0.9982,416730000.0,0,0.0100160256410353,0.0001001552407067,Sunday,0,0,0,0,0,0,1.0072574520615243
2024-12-28,0.9984,0.9986,0.9987,0.9983,259560000.0,0,-0.0200280392549712,-0.0002003004513458,Saturday,0,0,0,0,0,1,0.2913248574055351
2024-12-27,0.9986,0.999,0.9991,0.9981,838880000.0,0,-0.0400400400400347,-0.0004004805820445,Friday,0,0,0,0,1,0,2.9302131359326564
2024-12-26,0.999,0.9992,0.9994,0.9989,722270000.0,0,-0.0200160128102422,-0.0002001801628143,Thursday,0,0,0,1,0,0,2.3990373398975677
2024-12-25,0.9992,0.9993,0.9994,0.9989,280130000.0,0,-0.0100070049034339,-0.0001000750563757,Wednesday,0,0,1,0,0,0,0.38502424960553316
2024-12-24,0.9993,0.9988,0.9995,0.9984,1030000000.0,0,0.0500600720864996,0.0005004754621254,Tuesday,0,1,0,0,0,0,3.800793001623645
2024-12-23,0.9988,0.9991,0.9993,0.9985,975870000.0,0,-0.030027024321888,-0.0003003153333547,Monday,1,0,0,0,0,0,3.554222846067695
2024-12-22,0.9991,0.9995,0.9996,0.9989,650590000.0,0,-0.0400200100050041,-0.0004002802014818,Sunday,0,0,0,0,0,0,2.072524338784497
2024-12-21,0.9995,0.9996,0.9998,0.9994,679700000.0,0,-0.0100040016006386,-0.0001000450203425,Saturday,0,0,0,0,0,1,2.2051246940077323
2024-12-20,0.9996,0.9992,0.9999,0.9985,1600000000.0,0,0.0400320256205066,0.0004002401494294,Friday,0,0,0,0,1,0,6.397227301769436
2024-12-19,0.9992,0.9995,0.9997,0.998,1600000000.0,0,-0.0300150075037586,-0.0003001951290869,Thursday,0,0,0,1,0,0,6.397227301769436
2024-12-18,0.9995,1.0,1.0001,0.9989,1550000000.0,0,-0.0499999999999944,-0.0005001250416822,Wednesday,0,0,1,0,0,0,6.169469907019805
2024-12-17,1.0,1.0001,1.0002,0.9996,1340000000.0,0,-0.0099990000999916,-9.999500033332494e-05,Tuesday,0,1,0,0,0,0,5.212888849071356
2024-12-16,1.0001,0.9996,1.0003,0.9992,1180000000.0,0,0.0400120036010864,0.0004000400093353,Monday,1,0,0,0,0,0,4.484065185872537
2024-12-15,0.9997,0.9997,1.0,0.9994,382240000.0,0,0.0,0.0,Sunday,0,0,0,0,0,0,0.850150401163229
2024-12-14,0.9997,1.0001,1.0001,0.9997,372060000.0,0,-0.0399960003999555,-0.0004000400093352,Saturday,0,0,0,0,0,1,0.8037789955922042
2024-12-13,1.0001,1.0001,1.0003,0.9998,1100000000.0,0,0.0,0.0,Friday,0,0,0,0,1,0,4.119653354273128
2024-12-12,1.0001,1.0006,1.0007,1.0,887550000.0,0,-0.0499700179891982,-0.0004998250716342,Thursday,0,0,0,1,0,0,3.151912183981947
2024-12-11,1.0006,1.0006,1.0011,1.0001,2140000000.0,0,0.0,0.0,Wednesday,0,0,1,0,0,0,8.857007165065449
2024-12-10,1.0006,1.0005,1.0007,1.0,1150000000.0,0,0.0099950024987416,9.994503031647771e-05,Tuesday,0,1,0,0,0,0,4.3474107490227585
2024-12-09,1.0005,1.0006,1.0009,0.9993,1390000000.0,0,-0.0099940035978352,-9.994503031650666e-05,Monday,1,0,0,0,0,0,5.440646243820987
2024-12-08,1.0006,1.0008,1.0008,1.0003,592270000.0,0,-0.0199840127897643,-0.0001998600985966,Sunday,0,0,0,0,0,0,1.8068681135485278
2024-12-07,1.0008,1.0014,1.0014,1.0007,621470000.0,0,-0.0599161174356099,-0.0005993407431432,Saturday,0,0,0,0,0,1,1.9398784320823121
2024-12-06,1.0014,1.0009,1.0018,1.0001,1250000000.0,0,0.0499550404635895,0.0004994256708713,Friday,0,0,0,0,1,0,4.80292553852202
2024-12-05,1.0009,1.0014,1.0021,1.0003,1680000000.0,0,-0.0499300978630046,-0.0004994256708713,Thursday,0,0,0,1,0,0,6.7616391333688455
2024-12-04,1.0014,1.0008,1.0024,1.0004,1150000000.0,0,0.0599520383693263,0.0005993407431432,Wednesday,0,0,1,0,0,0,4.3474107490227585
2024-12-03,1.0008,1.0004,1.0009,0.9997,715960000.0,0,0.0399840063974421,0.0003997601492374,Tuesday,0,1,0,0,0,0,2.3702943566801644
2024-12-02,1.0004,1.0007,1.0008,1.0001,992190000.0,0,-0.0299790146897183,-0.0002998350929464,Monday,1,0,0,0,0,0,3.6285628597139743
2024-12-01,1.0007,1.0006,1.0009,1.0003,318160000.0,0,0.0099940035978463,9.993504230577643e-05,Sunday,0,0,0,0,0,0,0.5582565240521024
2024-11-30,1.0006,1.0004,1.0007,1.0003,382200000.0,0,0.0199920031987099,0.0001999000506405,Saturday,0,0,0,0,0,1,0.8499681952474294
2024-11-29,1.0004,1.0002,1.0013,1.0001,669680000.0,0,0.0199960007998267,0.0001999400186605,Friday,0,0,0,0,1,0,2.159482112099906
2024-11-28,1.0002,1.0009,1.0011,1.0001,743910000.0,0,-0.0699370566490054,-0.0006996152401697,Thursday,0,0,0,1,0,0,2.4976107403452077
2024-11-27,1.0009,0.9997,1.0015,0.9996,964560000.0,0,0.1200360108032372,0.001199640251838,Wednesday,0,0,1,0,0,0,3.502704123375328
2024-11-26,0.9997,1.0001,1.0007,0.9994,682520000.0,0,-0.0299999999999966,-0.0003000450090019,Tuesday,0,1,0,0,0,0,2.217970211071611
2024-11-25,1.0,1.0008,1.001,0.9997,1030000000.0,0,-0.0799360511590685,-0.0007996801705642,Monday,1,0,0,0,0,0,3.800793001623645
2024-11-24,1.0008,1.0005,1.0011,1.0001,644180000.0,0,0.0299850074962471,0.0002998051289132,Sunday,0,0,0,0,0,0,2.0433258407775945
2024-11-23,1.0005,1.0007,1.002,1.0003,1110000000.0,0,-0.029976019184652,-0.0002998051289132,Saturday,0,0,0,0,0,1,4.165204833223054
2024-11-22,1.0008,1.0009,1.0011,1.0003,2070000000.0,0,-0.0099910080927134,-9.991507227173002e-05,Friday,0,0,0,0,1,0,8.538146812415965
2024-11-21,1.0009,1.0007,1.0009,0.9998,1190000000.0,0,0.0199860097931381,0.0001998401285626,Thursday,0,0,0,1,0,0,4.529616664822464
2024-11-20,1.0007,1.0012,1.0014,1.0004,1400000000.0,0,-0.0499400719137232,-0.0004995254612089,Wednesday,0,0,1,0,0,0,5.486197722770913
2024-11-19,1.0012,1.0006,1.0014,1.0004,947240000.0,0,0.0599640215870556,0.0005994605035145,Tuesday,0,1,0,0,0,0,3.423808961834056
2024-11-18,1.0006,1.0001,1.0011,0.9998,658840000.0,0,0.0499950004999361,0.0004998250716341,Monday,1,0,0,0,0,0,2.1101043089181863
2024-11-17,1.0001,1.0003,1.0004,0.9998,593350000.0,0,-0.029988004798076,-0.0002999250209935,Sunday,0,0,0,0,0,0,1.81178767327512
2024-11-16,1.0004,1.0003,1.0005,1.0001,413110000.0,0,0.0099970008997196,9.996501232885576e-05,Saturday,0,0,0,0,0,1,0.990767816681651
2024-11-15,1.0003,1.0,1.0005,0.9997,698210000.0,0,0.0299999999999966,0.0002999550089979,Friday,0,0,0,0,1,0,2.2894404815440454
2024-11-14,1.0,1.0012,1.0012,0.9998,1390000000.0,0,-0.1198561725929026,-0.0011992805754822,Thursday,0,0,0,1,0,0,5.440646243820987
2024-11-13,1.0012,1.0009,1.0024,1.0008,1780000000.0,0,0.0299730242781626,0.0002996853326461,Wednesday,0,0,1,0,0,0,7.217153922868107
2024-11-12,1.0009,1.0011,1.0018,1.0002,1630000000.0,0,-0.0199780241734282,-0.000199800200465,Tuesday,0,1,0,0,0,0,6.533881738619215
2024-11-11,1.0011,1.0006,1.0021,1.0005,1220000000.0,0,0.0499700179892315,0.0004995753713335,Monday,1,0,0,0,0,0,4.666271101672242
2024-11-10,1.0006,1.0004,1.0009,1.0002,746580000.0,0,0.0199920031987099,0.0001999000506405,Sunday,0,0,0,0,0,0,2.509772985224838
2024-11-09,1.0004,1.0006,1.0006,1.0002,493610000.0,0,-0.0199880071956815,-0.0001999000506406,Saturday,0,0,0,0,0,1,1.3574572222285564
2024-11-08,1.0006,1.0007,1.0013,1.0004,1700000000.0,0,-0.009993004896569,-9.993504230569309e-05,Friday,0,0,0,0,1,0,6.852742091268698
2024-11-07,1.0007,1.0008,1.0014,1.0002,1340000000.0,0,-0.0099920063948877,-9.992505629102664e-05,Thursday,0,0,0,1,0,0,5.212888849071356
2024-11-06,1.0008,1.0,1.0014,0.9998,1320000000.0,0,0.0799999999999911,0.0007996801705642,Wednesday,0,0,1,0,0,0,5.121785891171504
