Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2020-01-01,0.1931,0.1929,0.1951,0.1922,1230000000.0,0.0,2.986666666666671,0.0294293440240032,Wednesday,0,0,1,0,0,0,0.16567617277925228
2020-01-02,0.1875,0.1931,0.1931,0.1863,1470000000.0,0.0,-2.9503105590062195,-0.0299470763679522,Thursday,0,0,0,1,0,0,0.3815467174303537
2020-01-03,0.1932,0.1875,0.1938,0.1846,1740000000.0,0.0,0.0517866390471244,0.0005177323439488,Friday,0,0,0,0,1,0,0.6244010801628427
2020-01-04,0.1931,0.1932,0.1937,0.1914,1110000000.0,0.0,-0.7197943444730126,-0.0072239736240322,Saturday,0,0,0,0,0,1,0.05774090045370158
2020-01-05,0.1945,0.1931,0.1971,0.1929,1150000000.0,0.0,-12.81936351411922,-0.1371879383799857,Sunday,0,0,0,0,0,0,0.09371932456221847
2020-01-06,0.2231,0.1946,0.2231,0.1943,2840000000.0,0.0,4.496487119437931,0.0439832687698075,Monday,1,0,0,0,0,0,1.6138077431470572
2020-01-07,0.2135,0.2231,0.225,0.2074,3000000000.0,0.0,2.8420038535645453,0.0280236813769456,Tuesday,0,1,0,0,0,0,1.757721439581125
2020-01-08,0.2076,0.2135,0.2176,0.2034,2440000000.0,0.0,1.9145802650957444,0.0189648280589735,Wednesday,0,0,1,0,0,0,1.2540235020618884
2020-01-09,0.2037,0.2076,0.2087,0.2013,1770000000.0,0.0,-4.186265286923807,-0.0427641426750874,Thursday,0,0,0,1,0,0,0.6513848982442304
2020-01-10,0.2126,0.2037,0.2127,0.2005,2130000000.0,0.0,0.5676442762535538,0.0056603924717103,Friday,0,0,0,0,1,0,0.9751907152208823
2020-01-11,0.2114,0.2126,0.2197,0.2088,2080000000.0,0.0,-1.8114259173246603,-0.01828033093418,Saturday,0,0,0,0,0,1,0.9302176850852364
2020-01-12,0.2153,0.2113,0.2169,0.2097,1640000000.0,0.0,1.8448438978240225,0.01828033093418,Sunday,0,0,0,0,0,0,0.5344550198915504
2020-01-13,0.2114,0.2153,0.2155,0.2101,1320000000.0,0.0,-10.042553191489356,-0.1058334407080216,Monday,1,0,0,0,0,0,0.24662762702341529
2020-01-14,0.235,0.2114,0.2444,0.2113,3240000000.0,0.0,0.5132591958939114,0.0051194651061907,Tuesday,0,1,0,0,0,0,1.9735919842322263
2020-01-15,0.2338,0.235,0.235,0.2265,3230000000.0,0.0,2.006980802792336,0.0198710641973836,Wednesday,0,0,1,0,0,0,1.964597378205097
2020-01-16,0.2292,0.2338,0.235,0.2227,2460000000.0,0.0,-4.180602006688972,-0.0427050372358922,Thursday,0,0,0,1,0,0,1.2720127141161468
2020-01-17,0.2392,0.2292,0.2443,0.2267,2770000000.0,0.0,-1.765913757700199,-0.0178169204461677,Friday,0,0,0,0,1,0,1.5508455009571527
2020-01-18,0.2435,0.2392,0.254,0.2321,2660000000.0,0.0,3.3092914722104405,0.032557132580559,Saturday,0,0,0,0,0,1,1.4519048346587313
2020-01-19,0.2357,0.2435,0.2512,0.2282,2390000000.0,0.0,1.1154011154011156,0.0110922639003739,Sunday,0,0,0,0,0,0,1.2090504719262423
2020-01-20,0.2331,0.2357,0.2364,0.2245,1550000000.0,0.0,-1.728499156829677,-0.0174361210818589,Monday,1,0,0,0,0,0,0.4535035656473875
2020-01-21,0.2372,0.2331,0.2418,0.2311,1630000000.0,0.0,0.0,0.0,Tuesday,0,1,0,0,0,0,0.5254604138644212
2020-01-22,0.2372,0.2372,0.2398,0.2333,1390000000.0,0.0,4.955752212389375,0.0483686678512844,Wednesday,0,0,1,0,0,0,0.3095898692133199
2020-01-23,0.226,0.2372,0.2373,0.2216,1570000000.0,0.0,1.7101710171017137,0.0169571220667562,Thursday,0,0,0,1,0,0,0.4714927777016459
2020-01-24,0.2222,0.2259,0.2262,0.214,1690000000.0,0.0,1.1839708561020013,0.011770167570154,Friday,0,0,0,0,1,0,0.5794280500271966
2020-01-25,0.2196,0.2222,0.2226,0.2169,1130000000.0,0.0,-4.9762007788836,-0.0510428076449594,Saturday,0,0,0,0,0,1,0.07573011250796002
2020-01-26,0.2311,0.2196,0.232,0.2182,1300000000.0,0.0,0.0866175833694304,0.0008658009198854,Sunday,0,0,0,0,0,0,0.22863841496915685
2020-01-27,0.2309,0.2311,0.2337,0.2264,1510000000.0,0.0,-3.469899665551845,-0.035315305716027,Monday,1,0,0,0,0,0,0.41752514153887055
2020-01-28,0.2392,0.2309,0.2411,0.2309,1960000000.0,0.0,1.571125265392781,0.0155891086200042,Tuesday,0,1,0,0,0,0,0.8222824127596856
2020-01-29,0.2355,0.2392,0.2417,0.2346,1860000000.0,0.0,-3.205918618988901,-0.0325843363330044,Wednesday,0,0,1,0,0,0,0.7323363524883933
2020-01-30,0.2433,0.2355,0.2459,0.2312,2070000000.0,0.0,1.629072681704247,0.016159456665604,Thursday,0,0,0,1,0,0,0.9212230790581071
2020-01-31,0.2394,0.2433,0.2444,0.234,1810000000.0,0.0,-0.7874015748031482,-0.0079051795071132,Friday,0,0,0,0,1,0,0.6873633223527473
2020-02-01,0.2413,0.2394,0.2429,0.2372,1290000000.0,0.0,-3.8645418326693326,-0.0394119665007979,Saturday,0,0,0,0,0,1,0.21964380894202762
2020-02-02,0.251,0.2413,0.261,0.2362,2470000000.0,0.0,-1.4526894385551548,-0.0146334428536273,Sunday,0,0,0,0,0,0,1.281007320143276
2020-02-03,0.2547,0.251,0.2591,0.2474,2090000000.0,0.0,-4.678143712574856,-0.0479110596770794,Monday,1,0,0,0,0,0,0.9392122911123656
2020-02-04,0.2672,0.2546,0.2688,0.2546,2890000000.0,0.0,-3.8156947444204494,-0.0389039886577527,Tuesday,0,1,0,0,0,0,1.6587807732827033
2020-02-05,0.2778,0.2672,0.282,0.2672,3240000000.0,0.0,-2.0451339915373845,-0.0206633643377291,Wednesday,0,0,1,0,0,0,1.9735919842322263
2020-02-06,0.2836,0.2778,0.2877,0.2708,3080000000.0,0.0,1.4306151645207432,0.0142047842983172,Thursday,0,0,0,1,0,0,1.8296782877981586
2020-02-07,0.2796,0.2836,0.288,0.2779,2120000000.0,0.0,0.7204610951008661,0.0071787817270057,Friday,0,0,0,0,1,0,0.9661961091937531
2020-02-08,0.2776,0.2795,0.2817,0.2648,1970000000.0,0.0,-1.7692852087756616,-0.0178512416177777,Saturday,0,0,0,0,0,1,0.8312770187868148
2020-02-09,0.2826,0.2776,0.2887,0.2765,1960000000.0,0.0,3.327239488116996,0.0327308483883911,Sunday,0,0,0,0,0,0,0.8222824127596856
2020-02-10,0.2735,0.2826,0.2832,0.2677,2060000000.0,0.0,-2.7036641764496605,-0.0274088560504502,Monday,1,0,0,0,0,0,0.9122284730309779
2020-02-11,0.2811,0.2735,0.2832,0.2676,2020000000.0,0.0,-7.654402102496716,-0.0796321480750445,Tuesday,0,1,0,0,0,0,0.876250048922461
2020-02-12,0.3044,0.2811,0.3086,0.2811,3670000000.0,0.0,-6.996639168958141,-0.072534555519604,Wednesday,0,0,1,0,0,0,2.360360043398783
2020-02-13,0.3273,0.3044,0.3393,0.302,6050000000.0,0.0,-2.560285799345041,-0.0259363151111122,Thursday,0,0,0,1,0,0,4.501076277855538
