source_coin,source_var,target_coin,target_var,lag,F-test p-value
DAI,Parkinson,BNB,Log Returns,1,0.026107896153240613
DAI,Parkinson,ETH,Log Returns,1,0.0014695070354185718
DAI,Parkinson,XRP,Log Returns,1,0.032237760617986486
DAI,VolLogChange,BNB,Parkinson,1,0.0379697963244962
DAI,VolLogChange,BNB,Log Returns,1,8.7444646088563e-08
DAI,VolLogChange,BTC,Parkinson,1,6.980489689692263e-07
DAI,VolLogChange,BTC,Log Returns,1,0.0005523725707461924
DAI,VolLogChange,ETH,Parkinson,1,9.39221683131561e-06
DAI,VolLogChange,ETH,Log Returns,1,2.7208177674729985e-05
DAI,VolLogChange,XRP,Parkinson,1,0.0004476711978718849
DAI,VolLogChange,XRP,Log Returns,1,1.1734475973194926e-05
USDC,Parkinson,BNB,Parkinson,1,9.871118040418568e-22
USDC,Parkinson,BNB,Log Returns,1,0.0006024642712488172
USDC,Parkinson,BTC,Parkinson,1,6.107868089584854e-28
USDC,Parkinson,BTC,Log Returns,1,4.05546310070996e-07
USDC,Parkinson,ETH,Parkinson,1,7.591432338730167e-27
USDC,Parkinson,ETH,Log Returns,1,7.34822455500654e-05
USDC,Parkinson,XRP,Parkinson,1,4.2245998373907404e-10
USDC,Parkinson,XRP,Log Returns,1,0.004787738765069323
USDC,VolLogChange,BNB,Log Returns,1,6.253410278103548e-05
USDC,VolLogChange,BTC,Parkinson,1,2.1684730344583453e-05
USDC,VolLogChange,ETH,Parkinson,1,0.0003762140890103991
USDC,VolLogChange,ETH,Log Returns,1,0.010882865880840122
USDC,VolLogChange,XRP,Parkinson,1,0.008277324401241805
USDC,VolLogChange,XRP,Log Returns,1,0.0013343087438603728
USDT,Parkinson,BNB,Parkinson,1,1.5992476513409352e-08
USDT,Parkinson,BNB,Log Returns,1,0.020682868722849797
USDT,Parkinson,BTC,Parkinson,1,1.8912011893567002e-10
USDT,Parkinson,BTC,Log Returns,1,3.991174857318448e-06
USDT,Parkinson,ETH,Parkinson,1,1.4435697155506021e-09
USDT,Parkinson,ETH,Log Returns,1,0.03146172489011759
USDT,Parkinson,XRP,Parkinson,1,0.00021407854355879398
USDT,VolLogChange,BNB,Log Returns,1,0.0015439392537256018
USDT,VolLogChange,BTC,Parkinson,1,8.032522400892306e-08
USDT,VolLogChange,ETH,Parkinson,1,1.934494272369835e-05
USDT,VolLogChange,XRP,Log Returns,1,0.02812219915598867
